Fraction Removed,LCC Size,Number of Components
0.2294,3,1032
0.2296,3,1033
0.2298,3,1034
0.2300,3,1035
0.2302,3,1036
0.2304,3,1037
0.2306,3,1038
0.2308,3,1039
0.2310,3,1040
0.2312,3,1041
0.2314,3,1042
0.2316,3,1043
0.2318,3,1044
0.2320,3,1045
0.2322,3,1046
0.2324,3,1047
0.2326,3,1048
0.2328,3,1049
0.2330,3,1050
0.2332,3,1051
0.2334,3,1052
0.2336,3,1053
0.2338,3,1054
0.2340,3,1055
0.2342,3,1056
0.2344,2,1057
0.2346,2,1057
0.2348,2,1056
0.2350,2,1056
0.2352,2,1055
0.2354,2,1054
0.2356,2,1053
0.2358,2,1052
0.2360,2,1051
0.2362,2,1050
0.2364,2,1050
0.2366,2,1049
0.2368,2,1049
0.2370,2,1048
0.2372,2,1048
0.2374,2,1048
0.2376,2,1047
0.2378,2,1046
0.2380,2,1046
0.2382,2,1045
0.2384,2,1045
0.2386,2,1044
0.2388,2,1043
0.2390,2,1042
0.2392,2,1042
0.2394,2,1042
0.2396,2,1042
0.2398,2,1041
0.2400,2,1041
0.2402,2,1041
0.2404,2,1040
0.2406,2,1039
0.2408,2,1038
0.2410,2,1038
0.2412,2,1037
0.2414,2,1037
0.2416,2,1037
0.2418,2,1037
0.2420,2,1037
0.2422,2,1037
0.2424,2,1036
0.2426,2,1035
0.2428,2,1035
0.2430,2,1034
0.2432,2,1034
0.2434,2,1034
0.2436,2,1034
0.2438,2,1034
0.2440,2,1033
0.2442,2,1032
0.2444,2,1031
0.2446,2,1030
0.2448,2,1030
0.2450,2,1029
0.2452,2,1028
0.2454,2,1027
0.2456,2,1027
0.2458,2,1026
0.2460,2,1026
0.2462,2,1025
0.2464,2,1025
0.2466,2,1025
0.2468,2,1024
0.2470,2,1023
0.2472,2,1023
0.2474,2,1022
0.2476,2,1021
0.2478,2,1021
0.2480,2,1021
0.2482,2,1020
0.2484,2,1019
0.2486,2,1018
0.2488,2,1017
0.2490,2,1016
0.2492,2,1016
0.2494,2,1015
0.2496,2,1014
0.2498,2,1013
0.2500,2,1013
0.2502,2,1013
0.2504,2,1013
0.2506,2,1012
0.2508,2,1011
0.2510,2,1010
0.2512,2,1009
0.2514,2,1008
0.2516,2,1007
0.2518,2,1007
0.2520,2,1007
0.2522,2,1006
0.2524,2,1005
0.2526,2,1005
0.2528,2,1004
0.2530,2,1003
0.2532,2,1003
0.2534,2,1002
0.2536,2,1001
0.2538,2,1000
0.2540,2,999
0.2542,2,998
0.2544,2,998
0.2546,2,998
0.2548,2,997
0.2550,2,996
0.2552,2,995
0.2554,2,994
0.2556,2,994
0.2558,2,993
0.2560,2,992
0.2562,2,991
0.2564,2,991
0.2566,2,990
0.2568,2,989
0.2570,2,988
0.2572,2,987
0.2574,2,986
0.2576,2,985
0.2578,2,984
0.2580,2,983
0.2582,2,983
0.2584,2,982
0.2586,2,981
0.2588,2,980
0.2590,2,979
0.2592,2,978
0.2594,2,978
0.2596,2,978
0.2598,2,978
0.2600,2,978
0.2602,2,977
0.2604,2,977
0.2606,2,977
0.2608,2,976
0.2610,2,975
0.2612,2,974
0.2614,2,973
0.2616,2,972
0.2618,2,972
0.2620,2,971
0.2622,2,970
0.2624,2,969
0.2626,2,969
0.2628,2,969
0.2630,2,968
0.2632,2,968
0.2634,2,967
0.2636,2,966
0.2638,2,965
0.2640,2,964
0.2642,2,964
0.2644,2,963
0.2646,2,962
0.2648,2,961
0.2650,2,960
0.2652,2,960
0.2654,2,959
0.2656,2,958
0.2658,2,957
0.2660,2,956
0.2662,2,956
0.2664,2,955
0.2666,2,954
0.2668,2,953
0.2670,2,952
0.2672,2,952
0.2674,2,952
0.2676,2,952
0.2678,2,951
0.2680,2,951
0.2682,2,950
0.2684,2,949
0.2686,2,948
0.2688,2,947
0.2690,2,946
0.2692,2,945
0.2694,2,945
0.2696,2,944
0.2698,2,943
0.2700,2,942
0.2702,2,941
0.2704,2,940
0.2706,2,940
0.2708,2,940
0.2710,2,939
0.2712,2,939
0.2714,2,939
0.2716,2,938
0.2718,2,937
0.2720,2,936
0.2722,2,936
0.2724,2,935
